Name,TAM_NAM_T,AMP_NAM_T,PROV_NAM_T,Latitude,Longitude
วัดข้ามหลามธรรม,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.323609,103.533388
วัดข้าวหลามธรรมมาวาส,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.325541,103.529483
วัดดงมะไฟบุษบาราม,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.33672,103.530934
วัดดอนยางจันทราราม,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.338694,103.522315
วัดท่ามาลานที,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.329459,103.562287
วัดท่ามาลานนีน้ำจั้น,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.33159,103.558639
วัดโนนไผ่ล้อม,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.309226,103.54572
วัดโพธิ์ชัยโปโล,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.298844,103.555641
วัดโพธิ์ชัยสงยาง,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.299619,103.528869
วัดศิลาลักษณ์ดอนยูง,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.314366,103.554649
วัดศิลาลักษณ์บ้านดอนยุง,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.31349,103.558946
วัดสระบัวราษฎร์ประดิษฐ์,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.322157,103.576243
วัดสระบัวราษฎร์ประดิษฐ์,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.323345,103.572987
วัดสะอาดศรี,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.320867,103.541356
วัดอโนมานที,กมลาไสย,กมลาไสย,กาฬสินธุ์,16.347176,103.557581
วัดคำโพนทอง,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.367211,103.67824
วัดงิ้วงาม,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.374589,103.679507
วัดโพธิ์ศรีสว่างหนองไผ่,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.335164,103.66928
วัดราษฎร์บำรุงวุฒิธรรม,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.337424,103.680974
วัดสระแคน,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.377679,103.669892
วัดสระแคนนามล,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.376315,103.67367
วัดหนองอีกุ้ม,โคกสมบูรณ์,กมลาไสย,กาฬสินธุ์,16.353314,103.648164
วัดเก่าน้อนโนนรัง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.224192,103.641891
วัดเก่าน้อยโนนรัง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.221701,103.644928
วัดจันทร์ท่าเพลิง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.212671,103.632168
วัดจันท่าเพลิง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.21117,103.636159
วัดจำปา,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.238734,103.604754
วัดท่ากลาง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.217966,103.616181
วัดบ้านแจ้งจม,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.21877,103.606639
วัดบ้านโจด,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.23757,103.606206
วัดบ้านดงลิง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.245318,103.604044
วัดบ้านท่ากลาง,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.219521,103.612501
วัดบูญญวาสวนารามเหมือดแอ่,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.210397,103.636391
วัดประทุมเกสร,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.240663,103.599468
วัดประทุมเกสร,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.242129,103.595875
วัดป่าแซงแหลมโนนสวรรค์,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.210447,103.623843
วัดป่าประทายขันติธรรม,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.258719,103.603482
วัดป่าพรมรังษี,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.214629,103.631176
วัดป่าพรหมรังษี,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.218022,103.626964
วัดป่าพระศรีศากยประชาบำ,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.204417,103.675079
วัดป่าสิทธิญาณนเถราวาส,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.251053,103.620096
วัดหนองมะเกลือ,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.206054,103.628906
วัดเหมือดแอ่,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.208559,103.635068
วัดใหม่สามัคคี,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.217358,103.621474
วัดใหม่สามัคคี,เจ้าท่า,กมลาไสย,กาฬสินธุ์,16.218566,103.617802
วัดโคกล่าม,ดงลิง,กมลาไสย,กาฬสินธุ์,16.272717,103.65993
วัดโคกล่าม,ดงลิง,กมลาไสย,กาฬสินธุ์,16.275136,103.658457
วัดบ้านโคกศรี,ดงลิง,กมลาไสย,กาฬสินธุ์,16.267091,103.678305
วัดบ้านแวง,ดงลิง,กมลาไสย,กาฬสินธุ์,16.223009,103.666972
วัดบ้านแวง,ดงลิง,กมลาไสย,กาฬสินธุ์,16.224925,103.664237
วัดบ้านสีถาน,ดงลิง,กมลาไสย,กาฬสินธุ์,16.249574,103.683688
วัดป่าเครือวัลย์,ดงลิง,กมลาไสย,กาฬสินธุ์,16.248446,103.670109
วัดป่าวิเวกสามัคคีธรรม,ดงลิง,กมลาไสย,กาฬสินธุ์,16.231027,103.688353
วัดป่าวิเวกสามัคคีธรรม,ดงลิง,กมลาไสย,กาฬสินธุ์,16.234116,103.690447
วัดโพธิ์ศรี,ดงลิง,กมลาไสย,กาฬสินธุ์,16.224684,103.684365
วัดโพธิ์ศรีโนนเมือง,ดงลิง,กมลาไสย,กาฬสินธุ์,16.223388,103.687706
วัดมหาโพธิญาณชัยสถานมงคล,ดงลิง,กมลาไสย,กาฬสินธุ์,16.254384,103.637461
วัดสวนโคก,ดงลิง,กมลาไสย,กาฬสินธุ์,16.259439,103.639822
วัดสว่างศิริบุญญาวาส,ดงลิง,กมลาไสย,กาฬสินธุ์,16.223325,103.667061
วัดสีถาน,ดงลิง,กมลาไสย,กาฬสินธุ์,16.250992,103.679404
วัดอัมพปาลาการาม,ดงลิง,กมลาไสย,กาฬสินธุ์,16.251188,103.664888
วัดบ้านแจ้งข่า,ธัญญา,กมลาไสย,กาฬสินธุ์,16.204072,103.551315
วัดบ้านสะอาดสมศรี,ธัญญา,กมลาไสย,กาฬสินธุ์,16.255729,103.550583
วัดป่าทิพวัลย์,ธัญญา,กมลาไสย,กาฬสินธุ์,16.262621,103.568436
วัดป่าโพธิ์ทองบ้านบ่อ,ธัญญา,กมลาไสย,กาฬสินธุ์,16.265331,103.587762
วัดป่าวิเวกธรรม,ธัญญา,กมลาไสย,กาฬสินธุ์,16.288467,103.537292
วัดโพธิ์ทองสงเปลือย,ธัญญา,กมลาไสย,กาฬสินธุ์,16.287386,103.539559
วัดโพธิ์ศรีหัวแฮด,ธัญญา,กมลาไสย,กาฬสินธุ์,16.253437,103.577158
วัดโพธิ์ศรีหัวแฮด,ธัญญา,กมลาไสย,กาฬสินธุ์,16.255099,103.574052
วัดศรีแพงศรีบ้านบ่อ,ธัญญา,กมลาไสย,กาฬสินธุ์,16.276144,103.580084
วัดสง่าอรุณ,ธัญญา,กมลาไสย,กาฬสินธุ์,16.279431,103.596432
วัดสว่างดอนแก้ว,ธัญญา,กมลาไสย,กาฬสินธุ์,16.272653,103.5322
วัดสว่างบ้านแก,ธัญญา,กมลาไสย,กาฬสินธุ์,16.266494,103.568283
วัดสว่างโพธิ์ศรีส้มโฮง,ธัญญา,กมลาไสย,กาฬสินธุ์,16.25836,103.571719
วัดสว่างอารมณ์จิกงาม,ธัญญา,กมลาไสย,กาฬสินธุ์,16.271271,103.540333
วัดสะอาดศรี,ธัญญา,กมลาไสย,กาฬสินธุ์,16.256653,103.547905
วัดแสงอุดมคมประสิทธิ์ธาราม,ธัญญา,กมลาไสย,กาฬสินธุ์,16.266388,103.608189
วัดโนนไฮวิทยาราม,โพนงาม,กมลาไสย,กาฬสินธุ์,16.347625,103.636532
วัดประชาศรัทธาธรรม,โพนงาม,กมลาไสย,กาฬสินธุ์,16.327302,103.675461
วัดป่ารัตนธรรมคุณ,โพนงาม,กมลาไสย,กาฬสินธุ์,16.338998,103.633566
วัดป่าศรีสว่างธรรม,โพนงาม,กมลาไสย,กาฬสินธุ์,16.306913,103.66027
วัดป่าศรีสว่างไพบูลย์,โพนงาม,กมลาไสย,กาฬสินธุ์,16.328859,103.651059
วัดป่าหนองไผ่,โพนงาม,กมลาไสย,กาฬสินธุ์,16.333011,103.664252
วัดโพนงาม,โพนงาม,กมลาไสย,กาฬสินธุ์,16.303682,103.679532
วัดสว่างดอนหัน,โพนงาม,กมลาไสย,กาฬสินธุ์,16.306276,103.671384
วัดสุวรรณนิคคลี,โพนงาม,กมลาไสย,กาฬสินธุ์,16.324327,103.641684
วัดสุวรรณนิคคลี,โพนงาม,กมลาไสย,กาฬสินธุ์,16.325504,103.63793
วัดชัยมงคล,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.337444,103.580297
วัดชัยศรีบ้านเล้า,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.298789,103.581446
วัดชัยศรีบ้านเล้า,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.299242,103.576411
วัดปฐมเกศาราม,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.332719,103.589199
วัดปฐมเกษาราม,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.334145,103.585741
วัดป่าดอนยางหัวขวา,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.357608,103.598981
วัดป่าศรัทธาธรรม,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.282517,103.610443
วัดแพงศรีเมือง,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.328883,103.585909
วัดโพธิ์ชัยหัวขวา,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.364683,103.60859
วัดโพธิ์ศรีโนนสว่าง,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.322101,103.599149
วัดโพธิ์ศรีบึงไฮ,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.314732,103.603768
วัดราษฎร์คงคาสีมาราม,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.291798,103.612568
วัดศรีสว่างคงคาราม,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.27865,103.633529
วัดสิริสว่างวราราม,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.275722,103.624346
วัดอนุสาวรีย์โพธิ์ชัย,หลักเมือง,กมลาไสย,กาฬสินธุ์,16.366667,103.596649
วัดกุดค้าววราราม,กุดค้าว,กุฉินารายณ์,กาฬสินธุ์,16.50051,104.015176
วัดบ้านโง้ง,กุดค้าว,กุฉินารายณ์,กาฬสินธุ์,16.492722,103.998446
วัดโพธิ์ชัย,กุดค้าว,กุฉินารายณ์,กาฬสินธุ์,16.513643,104.012317
วัดแสนสุขวนาราม,กุดค้าว,กุฉินารายณ์,กาฬสินธุ์,16.510099,104.011531
วัดกกต้องกุดหว้า,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.519249,104.113543
วัดกาต้องกุดหว้า,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.52088,104.109647
วัดโนนศรีลาห้วยแดง,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.548398,104.206418
วัดป่ากุดหว้า,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.522066,104.120879
วัดป่ากุดหว้า,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.523729,104.117893
วัดป่าผาสวรรค์,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.506031,104.180782
วัดป่าราชพฤกษ์,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.504907,104.220605
วัดป่าราชพฤกษ์,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.506549,104.217147
วัดผาสวรรค์บ้านนาไคร้,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.503604,104.183998
วัดวังมน,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.531287,104.142208
วัดศรีภูขันธ์,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.532851,104.190071
วัดศิลาสาดติการาม,กุดหว้า,กุฉินารายณ์,กาฬสินธุ์,16.507491,104.214451
วัดโคกกลาง,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.433702,104.082589
วัดโคกกลาง,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.434682,104.078258
วัดจุมจังเหนือ,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.466742,104.100852
วัดบรูพาภิรมย์,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.451472,104.107214
วัดบ้านหนองบัวทอง,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.41205,104.054242
วัดป่าโคกใหญ่นาสีนวล,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.414092,104.07113
วัดป่าน้อยเจริญ,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.453077,104.117936
วัดป่านาคำ,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.432493,104.074053
วัดป่านาเหนือ,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.417811,104.078881
วัดป่านาเหนือ,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.419653,104.074558
วัดพร้าวศรีสำราญ,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.460528,104.098279
วัดหนองหัวแฮด,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.404211,104.06252
วัดหนองหัวแฮด,จุมจัง,กุฉินารายณ์,กาฬสินธุ์,16.406263,104.058834
วัดแจนแลนใต้,แจนแลน,กุฉินารายณ์,กาฬสินธุ์,16.556348,104.002215
วัดแจนแลนเหนือ,แจนแลน,กุฉินารายณ์,กาฬสินธุ์,16.572274,104.01062
วัดแช่มชื่นพรมประสิทธิ์,แจนแลน,กุฉินารายณ์,กาฬสินธุ์,16.570321,104.013866
วัดศักดาราม,แจนแลน,กุฉินารายณ์,กาฬสินธุ์,16.550099,103.978215
วัดสระแก้วประทุมทอง,แจนแลน,กุฉินารายณ์,กาฬสินธุ์,16.563799,104.003464
วัดกลางนาโก,นาโก,กุฉินารายณ์,กาฬสินธุ์,16.587056,104.062504
วัดกลางนาโถ,นาโก,กุฉินารายณ์,กาฬสินธุ์,16.588499,104.059218
วัดดงหลักสิม,นาโก,กุฉินารายณ์,กาฬสินธุ์,16.611837,104.064942
วัดโพธิ์ชัยบ้านหวาย,นาโก,กุฉินารายณ์,กาฬสินธุ์,16.60056,104.053664
